arm,purpose,input_dim,seeds,accuracy,accuracy_sd,macro_f1,macro_f1_sd,balanced_accuracy,balanced_accuracy_sd
sequence-only,baseline to beat,480,3,0.755018632047121,0.0043474314989843015,0.615713307618123,0.004335667666213954,0.5985469707147643,0.004422815696919578
text-only-free,how much does prose alone explain,384,3,0.6897463637456425,0.004922609743825749,0.6171862603048365,0.014641514598794812,0.5854299354640896,0.009612695190368758
text-only-structured,leakage upper bound,384,3,0.9358095924990985,0.0006246126244388576,0.9120598822435245,0.0006965228949259193,0.8991590847563502,0.0030530869194323
sequence+free-text,headline comparison,864,3,0.8353167448010578,0.006958507339058213,0.7400232189751976,0.0063999233387090175,0.7159978779695493,0.008688898457229954
sequence+structured,"headline, with leaky text",864,3,0.9394157951676884,0.0009541115438386334,0.9061548410308664,0.005322043229849091,0.8926276981760941,0.005385261694112192
shuffled-text-control,detects gains not tied to this protein's text,864,3,0.7371078254597909,0.001571907300231044,0.57792005479169,0.006005052406073258,0.5640581827667205,0.004214294820535569
text-only-free-cleaned,"prose alone, database bookkeeping removed",384,3,0.7016468325519895,0.002401128062920809,0.6292457567212778,0.0048532584424859455,0.5994526179735211,0.005083893334326004
text-only-free-ablated,"prose alone, compartment sentences removed",384,3,0.6398605601634813,0.0014574294570239416,0.4828219164824255,0.0070579079965275,0.4682676190166163,0.006628469492211722
text-only-free-random-ablated,"prose alone, as much text removed at random",384,3,0.6550066113715591,0.004706520483339771,0.5186580194702598,0.01054093905140014,0.49765390241317886,0.007843563417036722
sequence+free-text-cleaned,isolates the evidence-code confound,864,3,0.8416877028489002,0.002163721601154023,0.7434916402211461,0.0035878693027337704,0.7192725295294713,0.002125730091237585
sequence+free-text-ablated,the ablation: grounding or leakage,864,3,0.8065873302079577,0.008359340618205867,0.6548201229861752,0.012748191155294096,0.6371888970826064,0.01144490493928752
sequence+free-text-random-ablated,length-matched control for the ablation,864,3,0.8152422166125736,0.009685412707529118,0.6740130014627088,0.013012745950832821,0.6548753455633028,0.010022418488984008
