arm,purpose,input_dim,seeds,accuracy,accuracy_sd,macro_f1,macro_f1_sd,balanced_accuracy,balanced_accuracy_sd
sequence-only,baseline to beat,480,3,0.7570376216785056,0.0023123383098193747,0.6192580301917745,0.007074774843322927,0.6015839632394067,0.005738149627214735
text-only-free,how much does prose alone explain,384,3,0.7448039989476454,0.006342837911729141,0.6640589010165446,0.011922483641429572,0.6410616430545663,0.005131470766524802
text-only-structured,leakage upper bound,384,3,0.9340962904498816,0.0020505731739173575,0.9105878965113059,0.0035480113105441683,0.8995260270781756,0.005639562453340616
sequence+free-text,headline comparison,864,3,0.8447776900815575,0.001268567582345797,0.7496092129721426,0.0032750756633791196,0.7225606770967108,0.005271728609470246
sequence+structured,"headline, with leaky text",864,3,0.9384372533543804,0.0024004587728090653,0.9031937080541996,0.00548443643083925,0.887241316472685,0.00416338928770677
shuffled-text-control,detects gains not tied to this protein's text,864,3,0.7378321494343594,0.005386896929608851,0.5883851981393454,0.004918089564592994,0.5728003777497246,0.004889339157095785
text-only-free-cleaned,"prose alone, database bookkeeping removed",384,3,0.7542751907392792,0.003165274773879502,0.6679652235484136,0.004833157037637245,0.6481819236866551,0.007172480209912948
text-only-free-ablated,"prose alone, compartment sentences removed",384,3,0.6835043409629045,0.0010441007541690914,0.5076729776732035,0.010064351901863774,0.4948437172921763,0.007895424243930667
text-only-free-random-ablated,"prose alone, as much text removed at random",384,3,0.6996842936069455,0.005594888271017306,0.5461199634866463,0.003086617732827424,0.5264824117902274,0.002951730517407262
sequence+free-text-cleaned,isolates the evidence-code confound,864,3,0.8495132859773744,0.0020250992263010814,0.7516595917600533,0.002813752818683066,0.7237439118955434,0.0018437082364814819
sequence+free-text-ablated,the ablation: grounding or leakage,864,3,0.8163641147066562,0.0009931379157156564,0.6609778667965465,0.008560875019103154,0.6393494034622906,0.007820326470531479
sequence+free-text-random-ablated,length-matched control for the ablation,864,3,0.8221520652459879,0.0031897804927603552,0.6673877551778936,0.004825859060495778,0.6482825779388678,0.0044842149191325655
